Name: Cogill Road, Instruction: Head north on Cogill Road, Distance: 59.0 meters, Time: 42.5 seconds
Name: Egglestone Road, Instruction: Turn right onto Egglestone Road, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn slight right, Distance: 21.5 meters, Time: 15.5 seconds
Name: Piers Road, Instruction: Turn right onto Piers Road, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn slight left, Distance: 33.3 meters, Time: 24.0 seconds
Name: Castletown Road, Instruction: Turn slight left onto Castletown Road, Distance: 25.8 meters, Time: 18.6 seconds
Name: Sandhurst Road, Instruction: Turn left onto Sandhurst Road, Distance: 85.2 meters, Time: 61.4 seconds
Name: Mitcham Street, Instruction: Turn left onto Mitcham Street, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: Bexhill Road, Instruction: Turn right onto Bexhill Road, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 92.0 meters, Time: 66.3 seconds
Name: Mosque Road, Instruction: Turn sharp left onto Mosque Road, Distance: 78.3 meters, Time: 56.4 seconds
Name: Broad Road, Instruction: Turn sharp right onto Broad Road, Distance: 54.8 meters, Time: 39.5 seconds
Name: Broad Close, Instruction: Turn left onto Broad Close, Distance: 204.5 meters, Time: 147.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Wetton Road, Instruction: Turn slight left onto Wetton Road, Distance: 517.2 meters, Time: 372.4 seconds
Name: Goldbourne Road, Instruction: Turn left onto Goldbourne Road, Distance: 140.1 meters, Time: 100.9 seconds
Name: Wargrave Road, Instruction: Turn right onto Wargrave Road, Distance: 143.2 meters, Time: 103.1 seconds
Name: Rosmead Avenue, M28, Instruction: Turn left onto Rosmead Avenue, M28, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
