Name: Junia Avenue, Instruction: Head south on Junia Avenue, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight left, Distance: 391.7 meters, Time: 282.0 seconds
Name: Octavia Street, Instruction: Turn right onto Octavia Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: Metella Road, Instruction: Turn left onto Metella Road, Distance: 323.7 meters, Time: 233.1 seconds
Name: Metella Road, Instruction: Enter the roundabout and take the 2nd exit onto Metella Road, Distance: 616.6 meters, Time: 444.0 seconds
Name: Lucretia Road, Instruction: Turn right onto Lucretia Road, Distance: 173.2 meters, Time: 124.7 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 98.4 meters, Time: 70.8 seconds
Name: Lavinia Street, Instruction: Turn left onto Lavinia Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: Lucretia Road, Instruction: Turn right onto Lucretia Road, Distance: 33.4 meters, Time: 24.1 seconds
Name: Amazon Road, Instruction: Turn left onto Amazon Road, Distance: 50.3 meters, Time: 36.2 seconds
Name: Zambesi Road, Instruction: Turn right onto Zambesi Road, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Arrive at Zambesi Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
