Name: Rosenheimer Platz, Instruction: Head south on Rosenheimer Platz, Distance: 60.8 meters, Time: 43.8 seconds
Name: Franziskanerstraße, Instruction: Turn sharp right onto Franziskanerstraße, Distance: 975.6 meters, Time: 702.4 seconds
Name: -, Instruction: Keep right, Distance: 202.1 meters, Time: 145.5 seconds
Name: Tegernseer Landstraße, Instruction: Turn right onto Tegernseer Landstraße, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 249.5 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Severinstraße, Instruction: Turn right onto Severinstraße, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
