Name: Hippelstraße, Instruction: Head west on Hippelstraße, Distance: 6.3 meters, Time: 4.5 seconds
Name: Franz-Heubl-Straße, Instruction: Turn left onto Franz-Heubl-Straße, Distance: 454.9 meters, Time: 327.5 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep right, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 205.2 meters, Time: 147.8 seconds
Name: Gerhart-Hauptmann-Ring, Instruction: Turn sharp left onto Gerhart-Hauptmann-Ring, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 193.4 meters, Time: 139.2 seconds
Name: Sudermannallee, Instruction: Turn left onto Sudermannallee, Distance: 110.7 meters, Time: 79.7 seconds
Name: Kafkastraße, Instruction: Turn right onto Kafkastraße, Distance: 241.2 meters, Time: 173.6 seconds
Name: Kafkastraße, Instruction: Keep right onto Kafkastraße, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
