Name: Rue de la Jonquière, Instruction: Head southeast on Rue de la Jonquière, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Keep right, Distance: 148.3 meters, Time: 106.8 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 145.9 meters, Time: 105.0 seconds
Name: Place Jacques Froment, Instruction: Turn left onto Place Jacques Froment, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue Lamarck, Instruction: Turn left onto Rue Lamarck, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at Rue Lamarck, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
