Name: Red Gum Drive, Instruction: Head west on Red Gum Drive, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn slight left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn slight left, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Keep left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
