Name: Bathurst Street, Instruction: Head south on Bathurst Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 267.5 meters, Time: 192.6 seconds
Name: -, Instruction: Keep right, Distance: 413.9 meters, Time: 298.0 seconds
Name: -, Instruction: Turn left, Distance: 303.8 meters, Time: 218.7 seconds
Name: -, Instruction: Keep right, Distance: 148.1 meters, Time: 106.7 seconds
Name: -, Instruction: Keep right, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Keep right, Distance: 97.6 meters, Time: 70.2 seconds
Name: -, Instruction: Keep right, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Keep right, Distance: 282.9 meters, Time: 203.7 seconds
Name: -, Instruction: Turn slight right, Distance: 119.1 meters, Time: 85.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
