Name: Old Northern Road, Instruction: Head northwest on Old Northern Road, Distance: 176.5 meters, Time: 127.0 seconds
Name: -, Instruction: Turn right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 142.6 meters, Time: 102.7 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 506.1 meters, Time: 364.4 seconds
Name: Kerrs Road, Instruction: Turn right onto Kerrs Road, Distance: 165.5 meters, Time: 119.1 seconds
Name: Marie Street, Instruction: Turn left onto Marie Street, Distance: 265.4 meters, Time: 191.1 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: Marie Street, Instruction: Turn left onto Marie Street, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 320.6 meters, Time: 230.8 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
