Name: Rue de la Villette, Instruction: Head south on Rue de la Villette, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.5 seconds
Name: -, Instruction: Keep right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rue Fessart, Instruction: Turn left onto Rue Fessart, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Lassus, Instruction: Turn right onto Rue Lassus, Distance: 248.7 meters, Time: 179.0 seconds
Name: Rue des Rigoles, Instruction: Turn left onto Rue des Rigoles, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue des Rigoles, Instruction: Turn right onto Rue des Rigoles, Distance: 4.2 meters, Time: 3.0 seconds
Name: Place Henri Malberg, Instruction: Continue straight onto Place Henri Malberg, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 248.7 meters, Time: 179.0 seconds
Name: -, Instruction: Keep right, Distance: 231.3 meters, Time: 166.5 seconds
Name: -, Instruction: Turn right, Distance: 85.6 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 182.1 meters, Time: 131.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
