Name: Bruce Ferguson Avenue, Instruction: Head north on Bruce Ferguson Avenue, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn slight left, Distance: 683.0 meters, Time: 491.8 seconds
Name: MacDonald Road, Instruction: Turn slight left onto MacDonald Road, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 250.3 meters, Time: 180.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn right, Distance: 278.1 meters, Time: 200.2 seconds
Name: -, Instruction: Turn slight left, Distance: 532.7 meters, Time: 383.5 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: Williamson Road, Instruction: Turn left onto Williamson Road, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
