Name: Ang Mo Kio Street 53, Instruction: Head south on Ang Mo Kio Street 53, Distance: 309.9 meters, Time: 223.1 seconds
Name: -, Instruction: Turn right, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Turn left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn right, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 205.1 meters, Time: 147.7 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: Ang Mo Kio Park Connector, Instruction: Turn sharp left onto Ang Mo Kio Park Connector, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
