Name: Belle Verde Drive, Instruction: Head northeast on Belle Verde Drive, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Turn right, Distance: 123.1 meters, Time: 88.7 seconds
Name: East Coast Road Shared Path, Instruction: Turn right onto East Coast Road Shared Path, Distance: 459.9 meters, Time: 331.1 seconds
Name: -, Instruction: Turn right, Distance: 273.3 meters, Time: 196.8 seconds
Name: -, Instruction: Keep left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Woodstock Road, Instruction: Turn sharp right onto Woodstock Road, Distance: 203.8 meters, Time: 146.7 seconds
Name: Manutara Avenue, Instruction: Turn left onto Manutara Avenue, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
