Name: Avignon Crescent, Instruction: Head south on Avignon Crescent, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.0 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 72.1 meters, Time: 51.9 seconds
Name: Jasmyn Street, Instruction: Turn left onto Jasmyn Street, Distance: 159.4 meters, Time: 114.8 seconds
Name: Frangipani Road, Instruction: Turn left onto Frangipani Road, Distance: 76.5 meters, Time: 55.1 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 276.9 meters, Time: 199.4 seconds
Name: -, Instruction: Turn left, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Keep left, Distance: 224.2 meters, Time: 161.4 seconds
Name: Townsend Street, Instruction: Turn slight left onto Townsend Street, Distance: 250.2 meters, Time: 180.1 seconds
Name: -, Instruction: Turn right, Distance: 95.0 meters, Time: 68.4 seconds
Name: Townsend Street, Instruction: Continue straight onto Townsend Street, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 392.1 meters, Time: 282.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
