Name: Trevose Crescent, Instruction: Head northwest on Trevose Crescent, Distance: 356.9 meters, Time: 256.9 seconds
Name: Camborne Road, Instruction: Turn left onto Camborne Road, Distance: 440.9 meters, Time: 317.4 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Kheam Hock Road, Instruction: Turn left onto Kheam Hock Road, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn left, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 721.4 meters, Time: 519.4 seconds
Name: -, Instruction: Turn left, Distance: 271.6 meters, Time: 195.6 seconds
Name: Nassim Road, Instruction: Turn left onto Nassim Road, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Arrive at Nassim Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
