Name: Beech Road, Instruction: Head east on Beech Road, Distance: 128.3 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn slight right, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 481.3 meters, Time: 346.5 seconds
Name: -, Instruction: Turn slight right, Distance: 73.4 meters, Time: 52.8 seconds
Name: Mary Ann Drive, Instruction: Turn left onto Mary Ann Drive, Distance: 353.0 meters, Time: 254.1 seconds
Name: Hebe Terrace, Instruction: Continue straight onto Hebe Terrace, Distance: 307.4 meters, Time: 221.4 seconds
Name: Mary Ann Drive, Instruction: Turn right onto Mary Ann Drive, Distance: 67.5 meters, Time: 48.6 seconds
Name: Britannia Drive, Instruction: Turn right onto Britannia Drive, Distance: 53.7 meters, Time: 38.7 seconds
Name: Tottenham Place, Instruction: Turn left onto Tottenham Place, Distance: 217.4 meters, Time: 156.5 seconds
Name: Tottenham Place, Instruction: Turn right onto Tottenham Place, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Arrive at Tottenham Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
