Name: Pasillo B, Instruction: Head west on Pasillo B, Distance: 36.2 meters, Time: 26.1 seconds
Name: Pasillo 5, Instruction: Turn left onto Pasillo 5, Distance: 40.4 meters, Time: 29.1 seconds
Name: Pasillo D, Instruction: Turn right onto Pasillo D, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 84.4 meters, Time: 60.8 seconds
Name: Calle Emilio Dondé, Instruction: Turn right onto Calle Emilio Dondé, Distance: 144.4 meters, Time: 104.0 seconds
Name: Calle Emilio Dondé, Instruction: Keep left onto Calle Emilio Dondé, Distance: 299.8 meters, Time: 215.8 seconds
Name: Calle Versalles, Instruction: Turn right onto Calle Versalles, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn slight left, Distance: 44.4 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: Calle Ignacio Ramírez, Instruction: Turn right onto Calle Ignacio Ramírez, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 53.5 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Calle José María Iglesias, Instruction: Turn left onto Calle José María Iglesias, Distance: 267.6 meters, Time: 192.7 seconds
Name: Avenida México-Tenochtitlan, Instruction: Turn right onto Avenida México-Tenochtitlan, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: Avenida México-Tenochtitlan, Instruction: Turn left onto Avenida México-Tenochtitlan, Distance: 9.9 meters, Time: 7.1 seconds
Name: Calle Bernal Díaz del Castillo, Instruction: Turn right onto Calle Bernal Díaz del Castillo, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at Calle Bernal Díaz del Castillo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
