Name: Surdown Walk, Instruction: Head north on Surdown Walk, Distance: 238.9 meters, Time: 172.0 seconds
Name: Lynburg Road, Instruction: Turn left onto Lynburg Road, Distance: 3.8 meters, Time: 2.8 seconds
Name: Lynath Walk, Instruction: Turn right onto Lynath Walk, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 175.8 meters, Time: 126.5 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.8 meters, Time: 68.3 seconds
Name: Arlington Road, Instruction: Turn right onto Arlington Road, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.2 meters, Time: 35.5 seconds
Name: Carlier Crescent, Instruction: Turn left onto Carlier Crescent, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn left, Distance: 437.3 meters, Time: 314.8 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Keep left, Distance: 75.7 meters, Time: 54.5 seconds
Name: Mersa Street, Instruction: Turn slight left onto Mersa Street, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Mersa Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
