Name: Mozartstraße, Instruction: Head west on Mozartstraße, Distance: 20.5 meters, Time: 14.8 seconds
Name: Eugen-Papst-Straße, Instruction: Turn left onto Eugen-Papst-Straße, Distance: 65.3 meters, Time: 47.0 seconds
Name: Beethovenstraße, Instruction: Turn right onto Beethovenstraße, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 53.8 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 163.7 meters, Time: 117.9 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
