Name: Stanway Place, Instruction: Head northwest on Stanway Place, Distance: 87.3 meters, Time: 62.8 seconds
Name: Kalmia Street, Instruction: Turn right onto Kalmia Street, Distance: 337.8 meters, Time: 243.2 seconds
Name: Kalmia Street, Instruction: Keep left onto Kalmia Street, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 359.1 meters, Time: 258.5 seconds
Name: -, Instruction: Turn left, Distance: 368.5 meters, Time: 265.3 seconds
Name: -, Instruction: Turn left, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 437.1 meters, Time: 314.7 seconds
Name: Green Shared Path East, Instruction: Turn slight right onto Green Shared Path East, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 281.2 meters, Time: 202.5 seconds
Name: -, Instruction: Turn left, Distance: 204.5 meters, Time: 147.2 seconds
Name: -, Instruction: Turn left, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
