Name: Malahide Drive, Instruction: Head east on Malahide Drive, Distance: 58.9 meters, Time: 42.4 seconds
Name: Tinturn Place, Instruction: Turn right onto Tinturn Place, Distance: 201.2 meters, Time: 144.9 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn left onto Salford/Geranium Shared Path, Distance: 163.1 meters, Time: 117.5 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn sharp right onto Salford/Geranium Shared Path, Distance: 179.9 meters, Time: 129.5 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn right onto Salford/Geranium Shared Path, Distance: 48.3 meters, Time: 34.8 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn left onto Salford/Geranium Shared Path, Distance: 210.4 meters, Time: 151.5 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn left onto Salford/Geranium Shared Path, Distance: 53.5 meters, Time: 38.5 seconds
Name: Salford/Geranium Shared Path, Instruction: Turn right onto Salford/Geranium Shared Path, Distance: 11.2 meters, Time: 8.1 seconds
Name: Geranium Avenue, Instruction: Turn left onto Geranium Avenue, Distance: 12.3 meters, Time: 8.8 seconds
Name: Aster Place, Instruction: Turn right onto Aster Place, Distance: 121.3 meters, Time: 87.3 seconds
Name: Helianthus Avenue, Instruction: Turn left onto Helianthus Avenue, Distance: 177.2 meters, Time: 127.6 seconds
Name: Kerrykeel Drive, Instruction: Turn right onto Kerrykeel Drive, Distance: 263.0 meters, Time: 189.4 seconds
Name: Kerrykeel Drive, Instruction: Keep left onto Kerrykeel Drive, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
