Name: شارع خلف العبور, Instruction: Head south on شارع خلف العبور, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 127.2 meters, Time: 91.6 seconds
Name: شارع حدائق العبور, Instruction: Turn right onto شارع حدائق العبور, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.8 seconds
Name: شارع صلاح سالم الجانبي, Instruction: Turn right onto شارع صلاح سالم الجانبي, Distance: 21.7 meters, Time: 15.6 seconds
Name: شارع اسماعيل الفنجري, Instruction: Turn sharp left onto شارع اسماعيل الفنجري, Distance: 18.5 meters, Time: 13.3 seconds
Name: شارع صلاح سالم, Instruction: Turn sharp right onto شارع صلاح سالم, Distance: 486.2 meters, Time: 350.1 seconds
Name: شارع منظمه الوحده الافريقيه, Instruction: Turn right onto شارع منظمه الوحده الافريقيه, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: شارع منظمه الوحده الافريقيه, Instruction: Turn right onto شارع منظمه الوحده الافريقيه, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 135.6 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
