Name: Rua Leitão da Cunha, Instruction: Head east on Rua Leitão da Cunha, Distance: 52.7 meters, Time: 37.9 seconds
Name: Rua Professor Luiz Cantanhede, Instruction: Turn left onto Rua Professor Luiz Cantanhede, Distance: 164.1 meters, Time: 118.1 seconds
Name: Rua Cardoso Júnior, Instruction: Turn left onto Rua Cardoso Júnior, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: Rua Cardoso Júnior, Instruction: Turn left onto Rua Cardoso Júnior, Distance: 70.5 meters, Time: 50.7 seconds
Name: Rua Conde de Avelar, Instruction: Keep left onto Rua Conde de Avelar, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 72.2 meters, Time: 52.0 seconds
Name: Rua Cardoso Júnior, Instruction: Turn left onto Rua Cardoso Júnior, Distance: 195.1 meters, Time: 140.5 seconds
Name: Ladeira dos Apeninos, Instruction: Turn left onto Ladeira dos Apeninos, Distance: 203.8 meters, Time: 146.7 seconds
Name: -, Instruction: Keep left, Distance: 7.6 meters, Time: 5.4 seconds
Name: Rua Álvaro Chaves, Instruction: Turn slight right onto Rua Álvaro Chaves, Distance: 143.8 meters, Time: 103.5 seconds
Name: Calçada Compartilhada Rua Pinheiro Machado, Instruction: Turn sharp right onto Calçada Compartilhada Rua Pinheiro Machado, Distance: 6.4 meters, Time: 4.6 seconds
Name: Tricolor, Instruction: Continue straight onto Tricolor, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Continue straight, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Keep left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: Rua Pinheiro Machado, Instruction: Turn slight right onto Rua Pinheiro Machado, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at Rua Pinheiro Machado, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
