Name: Reitmorstraße, Instruction: Head southwest on Reitmorstraße, Distance: 72.6 meters, Time: 52.3 seconds
Name: Robert-Koch-Straße, Instruction: Turn right onto Robert-Koch-Straße, Distance: 263.4 meters, Time: 189.6 seconds
Name: Triftstraße, Instruction: Turn right onto Triftstraße, Distance: 321.1 meters, Time: 231.2 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Prinzregentenstraße, Instruction: Continue straight onto Prinzregentenstraße, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: Militärgartenweg, Instruction: Turn left onto Militärgartenweg, Distance: 142.0 meters, Time: 102.2 seconds
Name: -, Instruction: Keep left, Distance: 37.3 meters, Time: 26.9 seconds
Name: Freiherr-von-Pechmann-Weg, Instruction: Turn right onto Freiherr-von-Pechmann-Weg, Distance: 351.6 meters, Time: 253.1 seconds
Name: Veterinärstraße, Instruction: Turn left onto Veterinärstraße, Distance: 6.2 meters, Time: 4.5 seconds
Name: Königinstraße, Instruction: Turn right onto Königinstraße, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: Kaulbachstraße, Instruction: Turn right onto Kaulbachstraße, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: Ludwigstraße, Instruction: Turn right onto Ludwigstraße, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
