Name: Ammergaustraße, Instruction: Head south on Ammergaustraße, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: Waldfriedhofstraße, Instruction: Turn right onto Waldfriedhofstraße, Distance: 251.6 meters, Time: 181.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Keep left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 869.9 meters, Time: 626.4 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
