Name: Bridge Street, Instruction: Head west on Bridge Street, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 285.5 meters, Time: 205.6 seconds
Name: -, Instruction: Turn right, Distance: 167.6 meters, Time: 120.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 38.9 meters, Time: 28.0 seconds
Name: The Avenue, Instruction: Turn left onto The Avenue, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Keep right, Distance: 161.6 meters, Time: 116.4 seconds
Name: Railway Street, Instruction: Turn left onto Railway Street, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: Parramatta Valley Cycleway, Instruction: Turn slight right onto Parramatta Valley Cycleway, Distance: 74.3 meters, Time: 53.5 seconds
Name: Parramatta Valley Cycleway, Instruction: Keep left onto Parramatta Valley Cycleway, Distance: 489.1 meters, Time: 352.2 seconds
Name: Parramatta Valley Cycleway, Instruction: Keep right onto Parramatta Valley Cycleway, Distance: 6.2 meters, Time: 4.5 seconds
Name: Parramatta Valley Cycleway, Instruction: Keep right onto Parramatta Valley Cycleway, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
