Name: Rue Pierre Gourdault, Instruction: Head southwest on Rue Pierre Gourdault, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue Charcot, Instruction: Turn right onto Rue Charcot, Distance: 234.6 meters, Time: 168.9 seconds
Name: Rue Charcot, Instruction: Continue straight onto Rue Charcot, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: Place Souham, Instruction: Turn left onto Place Souham, Distance: 123.8 meters, Time: 89.1 seconds
Name: Rue Jean Colly, Instruction: Turn right onto Rue Jean Colly, Distance: 23.6 meters, Time: 17.0 seconds
Name: Rue Baptiste Renard, Instruction: Turn left onto Rue Baptiste Renard, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue Baudricourt, Instruction: Turn left onto Rue Baudricourt, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 263.1 meters, Time: 189.4 seconds
Name: -, Instruction: Keep left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
