Name: Fort York Boulevard, Instruction: Head northeast on Fort York Boulevard, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 341.2 meters, Time: 245.6 seconds
Name: Niagara Street, Instruction: Turn right onto Niagara Street, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Keep left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Keep left, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn slight right, Distance: 166.9 meters, Time: 120.1 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Portland Street, Instruction: Turn left onto Portland Street, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 284.0 meters, Time: 204.5 seconds
Name: -, Instruction: Turn right, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Keep left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Augusta Avenue, Instruction: Turn left onto Augusta Avenue, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Arrive at Augusta Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
