Name: Rue de Quatrefages, Instruction: Head south on Rue de Quatrefages, Distance: 148.6 meters, Time: 107.0 seconds
Name: Place du Puits de l'Ermite, Instruction: Turn right onto Place du Puits de l'Ermite, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 194.4 meters, Time: 139.9 seconds
Name: -, Instruction: Turn slight right, Distance: 67.8 meters, Time: 48.8 seconds
Name: Rue du Fer à Moulin, Instruction: Turn right onto Rue du Fer à Moulin, Distance: 21.5 meters, Time: 15.4 seconds
Name: Rue de Valence, Instruction: Continue straight onto Rue de Valence, Distance: 135.3 meters, Time: 97.4 seconds
Name: Rue Pascal, Instruction: Turn left onto Rue Pascal, Distance: 247.5 meters, Time: 178.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: Rue Corvisart, Instruction: Turn left onto Rue Corvisart, Distance: 20.0 meters, Time: 14.4 seconds
Name: Rue Vulpian, Instruction: Turn right onto Rue Vulpian, Distance: 537.7 meters, Time: 387.1 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
