Name: Kanoona Street, Instruction: Head north on Kanoona Street, Distance: 384.5 meters, Time: 276.9 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 115.2 meters, Time: 82.9 seconds
Name: Winifred Avenue, Instruction: Turn right onto Winifred Avenue, Distance: 234.9 meters, Time: 169.2 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn right, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Keep left, Distance: 224.2 meters, Time: 161.4 seconds
Name: Sutherland to Cronulla Active Transport Link (Stage 2 East), Instruction: Turn right onto Sutherland to Cronulla Active Transport Link (Stage 2 East), Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 434.1 meters, Time: 312.5 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Keep left, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 193.8 meters, Time: 139.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
