Name: Cairo New Road, Instruction: Head north on Cairo New Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Lower Church Street, Instruction: Turn right onto Lower Church Street, Distance: 13.0 meters, Time: 9.4 seconds
Name: Bourne Street, Instruction: Turn left onto Bourne Street, Distance: 150.4 meters, Time: 108.3 seconds
Name: Waddon New Road, Instruction: Turn left onto Waddon New Road, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Keep left, Distance: 314.2 meters, Time: 226.2 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
