Name: The Bay Run, Instruction: Head southwest on The Bay Run, Distance: 694.0 meters, Time: 499.7 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 523.0 meters, Time: 376.6 seconds
Name: -, Instruction: Continue straight, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Continue straight, Distance: 138.8 meters, Time: 100.0 seconds
Name: -, Instruction: Turn slight left, Distance: 580.9 meters, Time: 418.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 216.1 meters, Time: 155.6 seconds
Name: Henry Street, Instruction: Turn right onto Henry Street, Distance: 174.3 meters, Time: 125.5 seconds
Name: -, Instruction: Arrive at Henry Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
