Name: 越後山通り, Instruction: Head southeast on 越後山通り, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 221.7 meters, Time: 159.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 616.5 meters, Time: 443.9 seconds
Name: -, Instruction: Keep left, Distance: 420.4 meters, Time: 302.7 seconds
Name: -, Instruction: Keep right, Distance: 168.3 meters, Time: 121.1 seconds
Name: -, Instruction: Continue straight, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Continue straight, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn left, Distance: 215.2 meters, Time: 155.0 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
