Name: Petir Road, Instruction: Head northwest on Petir Road, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 530.7 meters, Time: 382.1 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 148.2 meters, Time: 106.7 seconds
Name: Pang Sua Park Connector, Instruction: Turn slight right onto Pang Sua Park Connector, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Keep left, Distance: 154.2 meters, Time: 111.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: Pang Sua Park Connector, Instruction: Turn left onto Pang Sua Park Connector, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.7 seconds
Name: Bukit Panjang Road, Instruction: Turn right onto Bukit Panjang Road, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Arrive at Bukit Panjang Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
