Name: Valley Road, Instruction: Head east on Valley Road, Distance: 269.6 meters, Time: 194.1 seconds
Name: Clyde Road, Instruction: Turn slight left onto Clyde Road, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 127.0 meters, Time: 91.5 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: Bute Road, Instruction: Turn right onto Bute Road, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn right, Distance: 93.6 meters, Time: 67.4 seconds
Name: Glen Road, Instruction: Turn left onto Glen Road, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight left, Distance: 203.2 meters, Time: 146.3 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 428.4 meters, Time: 308.4 seconds
Name: -, Instruction: Turn right, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
