Name: Auenstraße, Instruction: Head southwest on Auenstraße, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: Fischerstraße, Instruction: Turn left onto Fischerstraße, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 435.9 meters, Time: 313.9 seconds
Name: Parkstraße, Instruction: Turn right onto Parkstraße, Distance: 61.9 meters, Time: 44.6 seconds
Name: Am Englischen Garten, Instruction: Turn sharp left onto Am Englischen Garten, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
