Name: Brookview Drive, Instruction: Head southwest on Brookview Drive, Distance: 10.4 meters, Time: 7.5 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 3rd exit onto Hikuawa Road, Distance: 302.8 meters, Time: 218.0 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 2nd exit onto Hikuawa Road, Distance: 443.3 meters, Time: 319.2 seconds
Name: Drumconnell Drive, Instruction: Enter the roundabout and take the 1st exit onto Drumconnell Drive, Distance: 181.9 meters, Time: 131.0 seconds
Name: Drumconnell Drive, Instruction: Turn slight left onto Drumconnell Drive, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 196.3 meters, Time: 141.3 seconds
Name: -, Instruction: Continue straight, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: Piwari Place, Instruction: Turn right onto Piwari Place, Distance: 7.3 meters, Time: 5.3 seconds
Name: Lime Hill Rise, Instruction: Turn left onto Lime Hill Rise, Distance: 157.3 meters, Time: 113.2 seconds
Name: Aklander Rise, Instruction: Turn right onto Aklander Rise, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
