Name: Avenida del Taller, EJE 2 SUR, Instruction: Head southeast on Avenida del Taller, EJE 2 SUR, Distance: 67.8 meters, Time: 48.8 seconds
Name: Retorno 53 de Avenida del Taller, Instruction: Turn right onto Retorno 53 de Avenida del Taller, Distance: 109.8 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Avenida Luis de la Rosa, Instruction: Turn left onto Avenida Luis de la Rosa, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 52.4 meters, Time: 37.7 seconds
Name: Viaducto Río de la Piedad, Instruction: Turn right onto Viaducto Río de la Piedad, Distance: 183.0 meters, Time: 131.7 seconds
Name: Avenida Licenciado Genaro García, Instruction: Keep right onto Avenida Licenciado Genaro García, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: Educadores Físicos, Instruction: Turn right onto Educadores Físicos, Distance: 95.5 meters, Time: 68.8 seconds
Name: Atletas, Instruction: Turn right onto Atletas, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Atletas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
