Name: Calle Francisco Jiménez, Instruction: Head north on Calle Francisco Jiménez, Distance: 48.5 meters, Time: 34.9 seconds
Name: Calle Alhelí, Instruction: Turn left onto Calle Alhelí, Distance: 100.7 meters, Time: 72.5 seconds
Name: Calle Onofre Capeto, Instruction: Turn right onto Calle Onofre Capeto, Distance: 50.2 meters, Time: 36.1 seconds
Name: Calle Jazmín, Instruction: Turn left onto Calle Jazmín, Distance: 103.6 meters, Time: 74.6 seconds
Name: Calle Magdaleno Ita, Instruction: Turn right onto Calle Magdaleno Ita, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 55.7 meters, Time: 40.1 seconds
Name: Calzada Guillermo Prieto, Instruction: Turn right onto Calzada Guillermo Prieto, Distance: 437.9 meters, Time: 315.3 seconds
Name: -, Instruction: Turn left, Distance: 291.4 meters, Time: 209.8 seconds
Name: -, Instruction: Turn right, Distance: 238.2 meters, Time: 171.5 seconds
Name: -, Instruction: Turn right, Distance: 568.6 meters, Time: 409.4 seconds
Name: -, Instruction: Keep right, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
