Name: Ferguson Street, Instruction: Head south on Ferguson Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 310.0 meters, Time: 223.2 seconds
Name: Garden Street, Instruction: Turn left onto Garden Street, Distance: 172.0 meters, Time: 123.8 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 180.2 meters, Time: 129.7 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 233.6 meters, Time: 168.2 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: Cooper Street, Instruction: Turn left onto Cooper Street, Distance: 146.9 meters, Time: 105.8 seconds
Name: Holmes Street, Instruction: Turn right onto Holmes Street, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 203.6 meters, Time: 146.6 seconds
Name: Henning Avenue, Instruction: Turn left onto Henning Avenue, Distance: 77.4 meters, Time: 55.7 seconds
Name: Argyle Crescent, Instruction: Enter the roundabout and take the 1st exit onto Argyle Crescent, Distance: 164.8 meters, Time: 118.7 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: Grevillea Place, Instruction: Turn left onto Grevillea Place, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: Fairsky Street, Instruction: Turn left onto Fairsky Street, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Georgic Place, Instruction: Turn right onto Georgic Place, Distance: 24.4 meters, Time: 17.6 seconds
Name: Asturias Avenue, Instruction: Turn right onto Asturias Avenue, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: Asturias Avenue, Instruction: Turn right onto Asturias Avenue, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
