Name: Spinella Drive, Instruction: Head north on Spinella Drive, Distance: 458.7 meters, Time: 330.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Keep right, Distance: 283.2 meters, Time: 203.9 seconds
Name: -, Instruction: Keep left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Keep left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 220.7 meters, Time: 158.9 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Turn slight right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Sunset Road, Instruction: Turn left onto Sunset Road, Distance: 18.0 meters, Time: 13.0 seconds
Name: Trias Road, Instruction: Turn right onto Trias Road, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Athena Drive, Instruction: Turn left onto Athena Drive, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
