Name: Rue Mirabeau, Instruction: Head south on Rue Mirabeau, Distance: 55.8 meters, Time: 40.1 seconds
Name: Rue Mohamed Bounaceur, Instruction: Turn right onto Rue Mohamed Bounaceur, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: Rue Antoine Thomas, Instruction: Turn right onto Rue Antoine Thomas, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 71.7 meters, Time: 51.6 seconds
Name: Rue René Villars, Instruction: Turn right onto Rue René Villars, Distance: 87.4 meters, Time: 62.9 seconds
Name: Rue André Voguet, Instruction: Enter the roundabout and take the 1st exit onto Rue André Voguet, Distance: 171.3 meters, Time: 123.3 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: Avenue de la Porte d'Ivry, Instruction: Keep left onto Avenue de la Porte d'Ivry, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 284.4 meters, Time: 204.7 seconds
Name: Boulevard Masséna, Instruction: Turn left onto Boulevard Masséna, Distance: 281.0 meters, Time: 202.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 383.9 meters, Time: 276.4 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn slight right, Distance: 194.4 meters, Time: 140.0 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
