Name: Rue Jean Mermoz, Instruction: Head west on Rue Jean Mermoz, Distance: 188.4 meters, Time: 135.6 seconds
Name: Rue Émile Moutier, Instruction: Keep left onto Rue Émile Moutier, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 100.0 meters, Time: 72.0 seconds
Name: Place Uranie, Instruction: Continue straight onto Place Uranie, Distance: 18.8 meters, Time: 13.5 seconds
Name: Allée Edmé Lheureux, Instruction: Continue straight onto Allée Edmé Lheureux, Distance: 131.9 meters, Time: 94.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 119.0 meters, Time: 85.6 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: Allée des Frères Lumière, Instruction: Turn right onto Allée des Frères Lumière, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight left, Distance: 83.2 meters, Time: 59.9 seconds
Name: Avenue des Canadiens, Instruction: Turn left onto Avenue des Canadiens, Distance: 1.5 meters, Time: 1.1 seconds
Name: Avenue Saint-Maurice du Valais, Instruction: Turn left onto Avenue Saint-Maurice du Valais, Distance: 63.6 meters, Time: 45.8 seconds
Name: Avenue Saint-Maurice du Valais, Instruction: Turn right onto Avenue Saint-Maurice du Valais, Distance: 22.2 meters, Time: 16.0 seconds
Name: Passage Jean Viacroze, Instruction: Turn right onto Passage Jean Viacroze, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Keep left, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 165.6 meters, Time: 119.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
