Name: Schwanseestraße, Instruction: Head northwest on Schwanseestraße, Distance: 447.0 meters, Time: 321.8 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Keep right, Distance: 195.8 meters, Time: 141.0 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Pfälzer-Wald-Straße, Instruction: Turn left onto Pfälzer-Wald-Straße, Distance: 544.2 meters, Time: 391.8 seconds
Name: Bad-Dürkheimer-Straße, Instruction: Turn right onto Bad-Dürkheimer-Straße, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Keep left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn slight left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: Ruppertsberger Straße, Instruction: Turn slight right onto Ruppertsberger Straße, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Keep left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Laibacher Straße, Instruction: Turn slight left onto Laibacher Straße, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 362.9 meters, Time: 261.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
