Name: Ang Mo Kio Street 53, Instruction: Head south on Ang Mo Kio Street 53, Distance: 358.5 meters, Time: 258.1 seconds
Name: -, Instruction: Turn right, Distance: 256.7 meters, Time: 184.8 seconds
Name: -, Instruction: Turn left, Distance: 250.8 meters, Time: 180.6 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Keep right, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Continue straight, Distance: 186.5 meters, Time: 134.2 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Ang Mo Kio Street 31, Instruction: Turn left onto Ang Mo Kio Street 31, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Arrive at Ang Mo Kio Street 31, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
