Name: Rue du Colonel Pierre Avia, Instruction: Head southwest on Rue du Colonel Pierre Avia, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Keep left, Distance: 579.9 meters, Time: 417.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 403.7 meters, Time: 290.6 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn slight left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Turn left, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Keep left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn slight left, Distance: 429.8 meters, Time: 309.4 seconds
Name: Rue Wilfrid Laurier, Instruction: Turn right onto Rue Wilfrid Laurier, Distance: 37.2 meters, Time: 26.8 seconds
Name: Rue du Général Humbert, Instruction: Turn left onto Rue du Général Humbert, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
