Name: Irisstraße, Instruction: Head southwest on Irisstraße, Distance: 225.0 meters, Time: 162.0 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: Hyazinthenstraße, Instruction: Turn sharp right onto Hyazinthenstraße, Distance: 284.7 meters, Time: 205.0 seconds
Name: Berberitzenstraße, Instruction: Turn left onto Berberitzenstraße, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: Berberitzenstraße, Instruction: Turn right onto Berberitzenstraße, Distance: 353.3 meters, Time: 254.4 seconds
Name: -, Instruction: Turn left, Distance: 432.2 meters, Time: 311.2 seconds
Name: -, Instruction: Keep left, Distance: 70.1 meters, Time: 50.5 seconds
Name: Lassallestraße, Instruction: Turn left onto Lassallestraße, Distance: 18.5 meters, Time: 13.3 seconds
Name: Himmelschlüsselstraße, Instruction: Turn right onto Himmelschlüsselstraße, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
