Name: Rua Nelson Mandela, Instruction: Head north on Rua Nelson Mandela, Distance: 111.9 meters, Time: 80.5 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 85.3 meters, Time: 61.4 seconds
Name: Rua Muniz Barreto, Instruction: Turn left onto Rua Muniz Barreto, Distance: 319.7 meters, Time: 230.1 seconds
Name: Rua Visconde de Ouro Preto, Instruction: Turn right onto Rua Visconde de Ouro Preto, Distance: 25.0 meters, Time: 18.0 seconds
Name: Rua Natal, Instruction: Turn left onto Rua Natal, Distance: 166.7 meters, Time: 120.0 seconds
Name: Rua Muniz Barreto, Instruction: Turn right onto Rua Muniz Barreto, Distance: 101.8 meters, Time: 73.3 seconds
Name: Tricolor, Instruction: Keep left onto Tricolor, Distance: 355.5 meters, Time: 256.0 seconds
Name: Tricolor, Instruction: Continue straight onto Tricolor, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 54.9 meters, Time: 39.5 seconds
Name: Tricolor, Instruction: Turn slight left onto Tricolor, Distance: 182.9 meters, Time: 131.7 seconds
Name: -, Instruction: Continue straight, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Keep left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
