Name: Rue Danton, Instruction: Head southeast on Rue Danton, Distance: 1086.1 meters, Time: 782.0 seconds
Name: Rue Jacques Ibert, Instruction: Turn left onto Rue Jacques Ibert, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn slight left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: Place de la Porte de Champerret, D 9B, Instruction: Turn right onto Place de la Porte de Champerret, D 9B, Distance: 13.5 meters, Time: 9.7 seconds
Name: Place de la Porte de Champerret, Instruction: Turn slight left onto Place de la Porte de Champerret, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn left onto Boulevard Gouvion-Saint-Cyr, Distance: 24.6 meters, Time: 17.7 seconds
Name: Rue Descombes, Instruction: Turn sharp right onto Rue Descombes, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 124.4 meters, Time: 89.5 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: Rue d'Héliopolis, Instruction: Keep right onto Rue d'Héliopolis, Distance: 121.7 meters, Time: 87.6 seconds
Name: Rue Rennequin, Instruction: Turn slight left onto Rue Rennequin, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Arrive at Rue Rennequin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
