Name: Alpha Grove, Instruction: Head north on Alpha Grove, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Bosun Close, Instruction: Turn right onto Bosun Close, Distance: 51.7 meters, Time: 37.2 seconds
Name: Byng Street, Instruction: Turn left onto Byng Street, Distance: 14.7 meters, Time: 10.6 seconds
Name: Manilla Street, Instruction: Turn right onto Manilla Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: Lenanton Steps, Instruction: Turn right onto Lenanton Steps, Distance: 32.0 meters, Time: 23.0 seconds
Name: Marsh Wall, Instruction: Turn sharp right onto Marsh Wall, Distance: 41.7 meters, Time: 30.0 seconds
Name: Admirals Way, Instruction: Turn left onto Admirals Way, Distance: 15.0 meters, Time: 10.8 seconds
Name: Wards Place, Instruction: Continue straight onto Wards Place, Distance: 16.8 meters, Time: 12.1 seconds
Name: Admirals Way, Instruction: Continue straight onto Admirals Way, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: South Quay Walk, Instruction: Turn right onto South Quay Walk, Distance: 107.1 meters, Time: 77.1 seconds
Name: South Quay Footbridge, Instruction: Turn left onto South Quay Footbridge, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 326.3 meters, Time: 235.0 seconds
Name: -, Instruction: Keep right, Distance: 118.9 meters, Time: 85.6 seconds
Name: Bellmouth Promenade West, Instruction: Turn right onto Bellmouth Promenade West, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: Bellmouth Promenande East, Instruction: Turn right onto Bellmouth Promenande East, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.2 seconds
Name: Trafalgar Way, Instruction: Turn left onto Trafalgar Way, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.4 seconds
Name: Boardwalk Place, Instruction: Continue straight onto Boardwalk Place, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Arrive at Boardwalk Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
