Name: Impasse Diderot, Instruction: Head northeast on Impasse Diderot, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 237.2 meters, Time: 170.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Keep right, Distance: 237.5 meters, Time: 171.0 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 211.1 meters, Time: 152.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 50.1 meters, Time: 36.0 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
