Name: Earlswood Street, Instruction: Head south on Earlswood Street, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn slight left, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 300.5 meters, Time: 216.4 seconds
Name: Highmore Road, Instruction: Turn right onto Highmore Road, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Arrive at Highmore Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
