Name: Rue de Stalingrad, Instruction: Head northwest on Rue de Stalingrad, Distance: 26.7 meters, Time: 19.2 seconds
Name: Rue Condorcet, Instruction: Turn sharp left onto Rue Condorcet, Distance: 110.5 meters, Time: 79.5 seconds
Name: Avenue Gabriel Péri, Instruction: Turn right onto Avenue Gabriel Péri, Distance: 466.3 meters, Time: 335.7 seconds
Name: Avenue Gabriel Péri, Instruction: Turn slight right onto Avenue Gabriel Péri, Distance: 11.9 meters, Time: 8.6 seconds
Name: Avenue Gabriel Péri, Instruction: Turn left onto Avenue Gabriel Péri, Distance: 392.5 meters, Time: 282.6 seconds
Name: Rue Désiré Préaux, Instruction: Turn sharp right onto Rue Désiré Préaux, Distance: 225.0 meters, Time: 162.0 seconds
Name: Rue des Messiers, Instruction: Turn sharp left onto Rue des Messiers, Distance: 325.1 meters, Time: 234.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Turn left, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 346.3 meters, Time: 249.3 seconds
Name: Rue de l'Épine, Instruction: Turn left onto Rue de l'Épine, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
