Name: Manning Avenue, Instruction: Head south on Manning Avenue, Distance: 54.0 meters, Time: 38.9 seconds
Name: Marchese Lane, Instruction: Turn right onto Marchese Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 226.7 meters, Time: 163.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 385.9 meters, Time: 277.9 seconds
Name: -, Instruction: Keep right, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 152.2 meters, Time: 109.6 seconds
Name: Mitchell Avenue, Instruction: Turn right onto Mitchell Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: Niagara Street, Instruction: Turn left onto Niagara Street, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Arrive at Niagara Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
