Name: Imperial Street, Instruction: Head east on Imperial Street, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Turn slight left, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Hillholm Road, Instruction: Turn left onto Hillholm Road, Distance: 406.3 meters, Time: 292.5 seconds
Name: Lismore Road, Instruction: Turn left onto Lismore Road, Distance: 51.7 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
