Name: Alte Pasinger Straße, Instruction: Head south on Alte Pasinger Straße, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Keep right, Distance: 225.4 meters, Time: 162.3 seconds
Name: -, Instruction: Keep right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 94.6 meters, Time: 68.1 seconds
Name: An der Würmleiten, Instruction: Turn left onto An der Würmleiten, Distance: 6.6 meters, Time: 4.7 seconds
Name: Lochhamer Straße, Instruction: Turn right onto Lochhamer Straße, Distance: 85.3 meters, Time: 61.4 seconds
Name: Paul-Eipper-Weg, Instruction: Turn right onto Paul-Eipper-Weg, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 631.6 meters, Time: 454.8 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 135.5 meters, Time: 97.6 seconds
Name: Ahornstraße, Instruction: Turn left onto Ahornstraße, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Ahornstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
