Name: Bukit Batok West Avenue 8, Instruction: Head southeast on Bukit Batok West Avenue 8, Distance: 451.5 meters, Time: 325.1 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 17.9 meters, Time: 12.9 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 339.4 meters, Time: 244.4 seconds
Name: Bukit Batok Street 21, Instruction: Turn right onto Bukit Batok Street 21, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 172.0 meters, Time: 123.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
