Name: Western Gateway, Instruction: Head east on Western Gateway, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn slight right, Distance: 113.4 meters, Time: 81.7 seconds
Name: -, Instruction: Turn right, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Keep right, Distance: 322.9 meters, Time: 232.5 seconds
Name: Wesley Avenue, Instruction: Turn left onto Wesley Avenue, Distance: 95.6 meters, Time: 68.8 seconds
Name: Rayleigh Road, Instruction: Turn right onto Rayleigh Road, Distance: 12.0 meters, Time: 8.7 seconds
Name: Rayleigh Road, Instruction: Keep right onto Rayleigh Road, Distance: 260.2 meters, Time: 187.3 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Halyard Place, Instruction: Turn left onto Halyard Place, Distance: 6.5 meters, Time: 4.6 seconds
Name: Barrier Point Road, Instruction: Turn sharp right onto Barrier Point Road, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Keep left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: North Periphery, Instruction: Turn left onto North Periphery, Distance: 203.7 meters, Time: 146.7 seconds
Name: -, Instruction: Continue straight, Distance: 20.2 meters, Time: 14.6 seconds
Name: Booth Road, Instruction: Turn left onto Booth Road, Distance: 345.6 meters, Time: 248.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
