Name: Pape Avenue, Instruction: Head north on Pape Avenue, Distance: 79.0 meters, Time: 56.9 seconds
Name: Carl Stryg Lane, Instruction: Turn left onto Carl Stryg Lane, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 198.3 meters, Time: 142.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Colgate Avenue, Instruction: Turn left onto Colgate Avenue, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Logan Avenue, Instruction: Turn right onto Logan Avenue, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 106.6 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: De Grassi Street, Instruction: Turn right onto De Grassi Street, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: First Avenue, Instruction: Turn left onto First Avenue, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 221.2 meters, Time: 159.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 81.5 meters, Time: 58.6 seconds
Name: Riverdale Park Crossing, Instruction: Turn left onto Riverdale Park Crossing, Distance: 232.3 meters, Time: 167.3 seconds
Name: Woodchip Path, Instruction: Turn right onto Woodchip Path, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at Woodchip Path, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
