Name: شارع حورس, Instruction: Head west on شارع حورس, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: شارع البردي, Instruction: Turn right onto شارع البردي, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: شارع البردي, Instruction: Turn right onto شارع البردي, Distance: 77.6 meters, Time: 55.8 seconds
Name: -, Instruction: Keep left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 140.3 meters, Time: 101.0 seconds
Name: شارع بليغ حمدى, Instruction: Turn slight left onto شارع بليغ حمدى, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: شارع بليغ حمدى, Instruction: Turn right onto شارع بليغ حمدى, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Keep left, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Keep right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep left, Distance: 42.6 meters, Time: 30.7 seconds
Name: شارع فايزه احمد, Instruction: Turn slight left onto شارع فايزه احمد, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: شارع فايزه احمد, Instruction: Turn sharp left onto شارع فايزه احمد, Distance: 62.2 meters, Time: 44.8 seconds
Name: شارع رمسيس نجيب, Instruction: Turn slight right onto شارع رمسيس نجيب, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: شارع رمسيس نجيب, Instruction: Turn sharp right onto شارع رمسيس نجيب, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Keep left, Distance: 84.8 meters, Time: 61.0 seconds
Name: شارع أم كلثوم, Instruction: Turn slight left onto شارع أم كلثوم, Distance: 31.0 meters, Time: 22.3 seconds
Name: شارع أم كلثوم, Instruction: Continue straight onto شارع أم كلثوم, Distance: 124.4 meters, Time: 89.6 seconds
Name: شارع أم كلثوم, Instruction: Continue straight onto شارع أم كلثوم, Distance: 43.0 meters, Time: 30.9 seconds
Name: شارع أم كلثوم, Instruction: Keep right onto شارع أم كلثوم, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Keep right, Distance: 204.2 meters, Time: 147.0 seconds
Name: شارع على الكسار, Instruction: Enter the roundabout and take the 1st exit onto شارع على الكسار, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Keep right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
