Name: Rue de l'Échaudé, Instruction: Head northeast on Rue de l'Échaudé, Distance: 53.3 meters, Time: 38.3 seconds
Name: Rue de Seine, Instruction: Turn slight left onto Rue de Seine, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 36.2 meters, Time: 26.0 seconds
Name: Passage de l'Institut, Instruction: Turn right onto Passage de l'Institut, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 185.1 meters, Time: 133.3 seconds
Name: -, Instruction: Continue straight, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Continue straight, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Keep right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 56.2 meters, Time: 40.5 seconds
Name: Place de Valois, Instruction: Keep left onto Place de Valois, Distance: 12.5 meters, Time: 9.0 seconds
Name: Place de Valois, Instruction: Turn left onto Place de Valois, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at Place de Valois, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
