Name: South Dearborn Way, Instruction: Head south on South Dearborn Way, Distance: 54.4 meters, Time: 39.2 seconds
Name: East Tennessee Drive, Instruction: Turn left onto East Tennessee Drive, Distance: 81.0 meters, Time: 58.3 seconds
Name: South Dearborn Street, Instruction: Turn slight right onto South Dearborn Street, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 80.2 meters, Time: 57.8 seconds
Name: -, Instruction: Keep right, Distance: 135.8 meters, Time: 97.8 seconds
Name: -, Instruction: Keep right, Distance: 198.3 meters, Time: 142.8 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Keep left, Distance: 94.9 meters, Time: 68.3 seconds
Name: South Chambers Circle, Instruction: Turn left onto South Chambers Circle, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Arrive at South Chambers Circle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
