Name: Breon Place, Instruction: Head northwest on Breon Place, Distance: 143.3 meters, Time: 103.2 seconds
Name: Savona Drive, Instruction: Turn left onto Savona Drive, Distance: 70.0 meters, Time: 50.4 seconds
Name: Accent Drive, Instruction: Turn right onto Accent Drive, Distance: 97.6 meters, Time: 70.3 seconds
Name: Wayne Francis Drive, Instruction: Turn right onto Wayne Francis Drive, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: Accent Drive, Instruction: Turn right onto Accent Drive, Distance: 426.9 meters, Time: 307.3 seconds
Name: Accent Drive, Instruction: Keep right onto Accent Drive, Distance: 322.8 meters, Time: 232.4 seconds
Name: -, Instruction: Turn left, Distance: 137.5 meters, Time: 99.0 seconds
Name: Lady Ruby Drive, Instruction: Turn left onto Lady Ruby Drive, Distance: 322.3 meters, Time: 232.0 seconds
Name: -, Instruction: Arrive at Lady Ruby Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
