Name: Matopo Road, Instruction: Head south on Matopo Road, Distance: 209.2 meters, Time: 150.6 seconds
Name: Poplar Avenue, Instruction: Turn sharp right onto Poplar Avenue, Distance: 115.3 meters, Time: 83.0 seconds
Name: Odin Drive, Instruction: Turn sharp right onto Odin Drive, Distance: 150.9 meters, Time: 108.7 seconds
Name: -, Instruction: Continue straight, Distance: 8.9 meters, Time: 6.4 seconds
Name: Thor Circle, Instruction: Continue straight onto Thor Circle, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 434.0 meters, Time: 312.5 seconds
Name: -, Instruction: Keep left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 90.6 meters, Time: 65.2 seconds
Name: -, Instruction: Turn slight left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 200.5 meters, Time: 144.4 seconds
Name: Spine Boulevard, Instruction: Enter the roundabout and take the 1st exit onto Spine Boulevard, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: Forest Drive Extension, Instruction: Turn left onto Forest Drive Extension, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 514.1 meters, Time: 370.2 seconds
Name: -, Instruction: Turn slight right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Mutual Way, Instruction: Continue straight onto Mutual Way, Distance: 74.2 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
