Name: Chestnut Street, Instruction: Head north on Chestnut Street, Distance: 146.8 meters, Time: 105.7 seconds
Name: -, Instruction: Turn right, Distance: 201.9 meters, Time: 145.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 214.8 meters, Time: 154.6 seconds
Name: -, Instruction: Keep left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 37.1 meters, Time: 26.7 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 15.3 meters, Time: 11.0 seconds
Name: Gould Street, Instruction: Continue straight onto Gould Street, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 135.3 meters, Time: 97.4 seconds
Name: Mutual Street, Instruction: Turn left onto Mutual Street, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 505.8 meters, Time: 364.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
